gene_id	C1	C2	H1	H2
TcCLB.508859.109	572	792	502	520
TcCLB.508859.118	0	0	0	0
TcCLB.511241.10	0	0	0	0
TcCLB.508861.10	5	4	6	3
TcCLB.508863.10	2137	3122	2252	2094
TcCLB.508863.20	244	382	241	277
TcCLB.511245.10	127	158	163	136
TcCLB.511245.20	718	936	782	738
TcCLB.511245.24	2305	3286	2002	1812
TcCLB.511245.30	1211	1806	961	1029
TcCLB.511245.40	1147	1754	1256	1232
TcCLB.511245.50	3551	5229	3164	3183
TcCLB.511245.60	879	1191	919	904
TcCLB.511245.70	2040	2841	2010	1766
TcCLB.511245.79	1064	1458	1060	926
TcCLB.511245.90	841	1182	749	702
TcCLB.511245.100	1516	2079	1530	1402
TcCLB.511245.110	1544	2269	1718	1570
TcCLB.511245.120	2158	3143	2067	2026
TcCLB.511245.130	7219	9909	6127	5687
TcCLB.511245.140	2959	4088	2192	1906
TcCLB.511245.150	1142	1624	997	952
TcCLB.511245.160	686	1042	936	838
TcCLB.511245.170	2451	3220	1906	1922
TcCLB.511245.180	1049	1421	506	546
TcCLB.511245.190	984	1316	1027	1011
TcCLB.511245.200	3539	4686	3307	2917
TcCLB.511245.210	1181	1645	1085	1062
TcCLB.511245.230	1522	1988	1199	1154
TcCLB.511245.240	954	1301	1114	1067
TcCLB.506983.60	2154	3089	2033	1999
TcCLB.506983.48	34	65	36	41
TcCLB.506983.39	9	16	13	11
TcCLB.506983.30	2096	3038	2138	1920
TcCLB.506983.20	2994	4191	2953	2800
TcCLB.506983.10	1441	1889	1505	1336
TcCLB.508865.2	133	157	135	104
TcCLB.508865.4	1105	1577	1207	1217
TcCLB.508865.10	1266	1737	1398	1271
TcCLB.508865.20	5426	7541	4911	4588
TcCLB.508865.30	11074	15165	11078	10712
TcCLB.511247.9	347	490	590	484
TcCLB.511247.18	2191	2898	2138	2010
TcCLB.511247.27	877	1207	742	659
TcCLB.511249.4	584	747	434	458
TcCLB.511249.10	1378	1723	1156	1025
TcCLB.511249.20	2036	2644	1750	1621
TcCLB.511249.30	2482	3185	2107	2050
TcCLB.511249.34	1488	1684	1340	1210
TcCLB.511249.40	1195	1565	1279	1096
TcCLB.511249.44	2552	3433	1957	1965
TcCLB.511249.50	1428	1867	1087	1094
TcCLB.511249.60	3005	3896	2815	2751
TcCLB.511249.80	1396	1890	1460	1303
TcCLB.511249.90	1416	1730	1667	1706
TcCLB.511249.100	3232	4421	2867	2649
TcCLB.511249.110	674	911	1209	1141
TcCLB.511251.10	187	220	286	272
TcCLB.508867.9	47	62	82	63
TcCLB.506439.9	318	458	469	366
TcCLB.506439.18	1176	1486	1303	1142
TcCLB.509935.10	271	355	317	325
TcCLB.509935.20	5848	8187	6491	6286
TcCLB.509935.29	2909	3880	4836	5613
TcCLB.509937.10	1573	2324	1546	1514
TcCLB.509937.20	2711	3817	2405	2288
TcCLB.509937.30	1645	2305	1767	1838
TcCLB.509937.39	1047	1433	960	887
TcCLB.509937.50	5006	6663	4360	4545
TcCLB.509937.60	42	39	65	63
TcCLB.509937.70	11	18	23	27
TcCLB.509937.80	983	1316	997	921
TcCLB.509937.90	2393	3541	2391	2334
TcCLB.509937.100	1462	2082	1716	1689
TcCLB.509937.110	1661	2397	1655	1543
TcCLB.509937.120	790	1059	950	1002
TcCLB.509937.130	112	110	161	109
TcCLB.509937.140	1476	2103	1734	1740
TcCLB.509937.150	2611	3638	2946	2848
TcCLB.509937.160	4981	7292	6537	6543
TcCLB.509937.170	1190	1691	1325	1431
TcCLB.509937.180	2728	3866	2669	2465
TcCLB.509937.190	2436	3424	2117	2119
TcCLB.509937.200	2410	3199	1812	1731
TcCLB.509937.210	2041	2666	1844	1735
TcCLB.509937.220	89	146	139	122
TcCLB.509939.10	1447	2112	1295	1295
TcCLB.509939.19	1857	2642	1674	1537
TcCLB.506441.10	3470	4852	3077	2861
TcCLB.506441.20	11517	17844	13675	13991
TcCLB.506443.10	1456	1879	1401	1270
TcCLB.506443.20	1487	2253	1465	1408
TcCLB.506443.30	1427	1903	1507	1324
TcCLB.506443.40	1336	1840	1375	1324
TcCLB.506443.50	1576	2089	1464	1358
TcCLB.506443.60	1276	1808	1221	1088
TcCLB.506443.70	2681	3534	2057	1970
TcCLB.506443.80	2491	3377	2094	1817
TcCLB.506443.100	0	0	1	0
TcCLB.506443.110	7	5	6	2
TcCLB.506443.130	1	4	3	4
TcCLB.506443.150	238	390	217	232
TcCLB.506231.40	0	1	1	1
TcCLB.506231.10	0	1	1	2
TcCLB.509663.69	0	0	0	0
TcCLB.509663.60	0	3	2	1
TcCLB.509663.50	2	8	2	4
TcCLB.509663.47	7	5	13	10
TcCLB.509663.44	1061	1341	798	796
TcCLB.509663.37	1139	1518	925	886
TcCLB.509663.30	526	743	489	517
TcCLB.509663.25	170	195	165	143
TcCLB.509663.20	527	713	761	742
TcCLB.509663.10	738	922	638	607
TcCLB.509663.5	125	120	121	96
TcCLB.507705.30	413	627	505	516
TcCLB.507705.20	320	399	274	283
TcCLB.507705.10	274	349	440	406
TcCLB.503631.9	1562	2074	1640	1606
TcCLB.506229.70	451	534	334	341
TcCLB.506229.64	1284	1828	1367	1454
TcCLB.506229.60	1649	2120	1735	1769
TcCLB.506229.50	1338	1869	1092	1084
TcCLB.506229.40	475	624	493	466
TcCLB.506229.30	855	1057	792	767
TcCLB.506229.20	604	752	619	534
TcCLB.506229.10	675	1072	871	845
TcCLB.503773.50	838	1123	873	820
TcCLB.503773.40	669	905	623	615
TcCLB.503773.30	381	527	499	485
TcCLB.503773.24	315	384	285	253
TcCLB.503773.20	877	1153	700	700
TcCLB.503773.9	556	707	434	430
TcCLB.506149.10	23	39	26	28
TcCLB.506149.20	468	637	513	478
TcCLB.506149.29	117	142	104	98
TcCLB.509553.10	756	1102	673	665
TcCLB.509553.20	751	1064	726	694
TcCLB.509553.30	1	0	1	0
TcCLB.509553.40	1	1	1	1
TcCLB.509553.50	792	1201	884	875
TcCLB.509553.60	964	1435	876	880
TcCLB.509555.10	1007	1504	892	924
TcCLB.507619.10	1034	1437	912	836
TcCLB.509557.10	703	989	621	558
TcCLB.509559.20	30	36	28	13
TcCLB.509559.40	0	0	1	0
TcCLB.507621.5	0	0	0	0
TcCLB.507621.10	25	55	30	37
TcCLB.507623.20	1831	2469	1639	1477
TcCLB.507623.30	2294	3042	1918	1853
TcCLB.507623.40	1182	1540	1004	899
TcCLB.507623.50	1270	1751	1064	960
TcCLB.507623.60	3152	4369	3001	2926
TcCLB.507623.80	1121	1354	848	817
TcCLB.507623.90	2272	3230	1963	1888
TcCLB.507623.101	155	203	101	106
TcCLB.507623.110	21	25	22	20
TcCLB.507623.120	1257	1876	1024	1002
TcCLB.507623.125	0	5	3	0
TcCLB.507623.129	0	0	1	0
TcCLB.507623.140	361	502	473	500
TcCLB.478283.10	993	1404	1036	1065
TcCLB.509561.9	1214	1864	1267	1243
TcCLB.509561.20	2137	3155	1836	1924
TcCLB.509561.30	1453	1967	1223	1255
TcCLB.509561.39	1046	1397	862	842
TcCLB.509561.50	1278	1768	1081	1083
TcCLB.509561.60	1207	1640	1155	1064
TcCLB.509561.70	2189	3095	2166	2055
TcCLB.509561.80	1693	2187	1499	1357
TcCLB.509561.100	1849	2532	1686	1656
TcCLB.509561.110	1429	2050	1367	1412
TcCLB.509561.120	633	860	569	509
TcCLB.509561.130	1433	2096	1973	2109
TcCLB.509563.10	2233	3189	2202	2189
TcCLB.509563.20	1057	1493	1021	1046
TcCLB.509563.30	2455	3335	2071	2063
TcCLB.509563.40	2367	3307	3348	3691
TcCLB.509563.50	4837	6887	4256	4003
TcCLB.509563.60	261	366	309	250
TcCLB.509565.9	2026	2964	2267	2021
TcCLB.441967.9	740	1059	717	703
TcCLB.439301.9	1062	1695	1131	1126
TcCLB.509567.4	673	969	637	652
TcCLB.509567.10	1470	2080	1595	1434
TcCLB.509567.30	2670	3903	2415	2552
TcCLB.509567.34	1139	1600	1204	1193
TcCLB.509567.40	2111	3211	2670	2882
TcCLB.509567.50	1690	2293	1730	1719
TcCLB.509567.60	1296	1818	1349	1287
TcCLB.506151.4	712	1022	722	728
TcCLB.506151.10	2472	3803	2928	2969
TcCLB.506151.20	4005	5565	3639	3596
TcCLB.506151.30	2762	3861	2818	2727
TcCLB.412435.10	2092	3003	2277	2375
TcCLB.509569.10	289	403	388	351
TcCLB.509569.30	2142	3096	2141	2058
TcCLB.509569.40	5288	7869	5863	5941
TcCLB.509569.44	700	1079	589	632
TcCLB.509569.50	2951	4181	3154	3100
TcCLB.509569.60	1774	2426	1782	1535
TcCLB.509569.80	842	1282	1006	941
TcCLB.509569.90	973	1313	878	910
TcCLB.509569.94	444	606	461	439
TcCLB.509569.100	17916	23555	17421	15681
TcCLB.509569.110	1406	2069	1593	1569
TcCLB.509569.120	2264	3136	2100	2184
TcCLB.509569.140	3110	3974	2649	2324
