,gene,euclidean_dist,cityblock_dist,minkowsky_dist,cosine_dist,km2_eucl,km3_eucl,km5_eucl,km10_eucl,km100_eucl,km2_city,km3_city,km5_city,km10_city,km100_city,km2_minkow,km3_minkow,km5_minkow,km10_minkow,km100_minkow,km2_cos,km3_cos,km5_cos,km10_cos,km100_cos
2938,EWSR1,0.13401787359740067,0.2188344650526424,0.13401787359740067,0.02325148538592725,0,2,2,1,49,1,0,0,5,52,0,1,1,0,46,0,1,3,5,23
2939,EXDL2,0.13400534651080429,0.21876414583286952,0.13400534651080429,0.01891185257339767,0,2,2,1,49,1,0,0,5,52,0,1,1,0,46,0,1,3,5,44
2940,EXO1,0.2450053614098352,0.3816593912994187,0.2450053614098352,0.0796527983313251,0,0,4,9,93,1,2,2,9,81,0,0,2,9,49,0,1,1,0,67
2941,EXOC1,0.16894096492384728,0.2581259907020161,0.16894096492384728,0.030705509725519553,0,2,0,8,52,1,0,0,5,61,0,1,3,0,69,0,1,3,2,31
2942,EXOC2,0.16601433708374932,0.2708323890505502,0.16601433708374932,0.02663405859733936,0,2,0,8,52,1,0,0,5,91,0,1,3,0,69,0,1,3,2,91
2943,EXOC3,0.3360495795805541,0.5366422182219988,0.3360495795805541,0.14515863759120196,1,0,4,0,41,0,2,2,3,36,1,0,2,5,19,0,2,4,1,68
2944,EXOC4,0.16864728794757455,0.27147021648380776,0.16864728794757455,0.03690351861265262,0,2,0,8,52,1,0,0,5,91,0,1,3,0,69,0,1,3,2,9
2945,EXOC5,0.06373591477731982,0.1008800895628865,0.06373591477731982,0.004322945101535081,0,2,2,5,81,1,0,3,8,80,0,1,1,3,15,0,1,3,5,13
2946,EXOC6,0.5323879311560102,0.7596738389854722,0.5323879311560102,0.2986045941570461,1,1,1,2,85,0,1,1,1,51,1,2,4,1,9,1,0,2,4,49
2947,EXOC6B,0.13098781340093385,0.2027732142494958,0.13098781340093385,0.022277781279960496,0,2,2,1,49,1,0,3,5,28,0,1,1,6,46,0,1,3,5,23
2948,EXOC7,0.13794039446554807,0.1992935972220631,0.13794039446554807,0.021999701285610462,0,2,0,1,17,1,0,3,2,28,0,1,3,0,25,0,1,3,5,2
2949,EXOC8,0.12835775828500814,0.20534914330953905,0.12835775828500814,0.019286967741752203,0,2,2,1,95,1,0,3,5,28,0,1,1,6,88,0,1,3,5,2
2950,EXOSC1,0.0954680905312668,0.14687328220296839,0.0954680905312668,0.011392268565963537,0,2,2,1,83,1,0,3,2,77,0,1,1,6,2,0,1,3,5,10
2951,EXOSC10,0.07293336776345002,0.1075415535668329,0.07293336776345002,0.006828619046377327,0,2,2,5,38,1,0,3,8,16,0,1,1,3,44,0,1,3,5,45
2952,EXOSC2,0.3348900171858387,0.5391757666060513,0.3348900171858387,0.13486550455256474,1,0,4,0,41,0,2,2,3,36,1,0,2,5,77,0,2,4,7,39
2953,EXOSC3,0.2531119350582547,0.4133132417174165,0.2531119350582547,0.07802537415801936,0,0,4,9,60,1,2,2,9,44,0,0,2,9,85,0,1,1,0,98
2954,EXOSC5,0.3664164178769262,0.5829643685431161,0.3664164178769262,0.17242353213409545,1,0,4,6,35,0,2,1,7,71,1,0,4,2,53,1,2,4,1,26
