AGBL5	106	101.5	175	121	244.5	172.5
AGER	68	73.5	273	34.5	70	93.5
AGFG1	1334	1245	2794.5	1712	1906.25	2750.5
AGFG2	430	279	617	449	454	305
AGGF1	224	319	609	324	248	456
AGK	107	205	314	157	344	166
AGL	1265.17	2210	2274.33	462.667	787.833	1190.33
AGPAT1	211.5	160.5	976.5	271.5	458.5	672.5
AGPAT2	139	230	446	243.5	453.5	381.5
AGPAT3	974	633.5	2378.5	1092.5	767	1819
AGPAT4	152	245	982	96	165	505
AGPAT5	270	319	678	310	715	349
AGPAT6	344	357	1283	290	591	1228
AGPAT9	104	106	309	138	112	72
AGPS	595	744	1684	398	613	1277
AGRN	1253	1341	2607	4948	6518	5791
AGTPBP1	314	519	936	193	435	428
AGTRAP	112.4	62.6	439.6	202	338.4	424.6
AGXT2L2	165	183	817	163	172	178
AHCTF1	138	146	281	144	173	259
AHCY	734	712	1365	739	1601	1147
AHCYL1	980	1233	2710	1086	1231	1897
AHCYL2	468	544.5	712	149.5	639	767.5
AHDC1	1639	1216	2198	1550	1448	1376
AHI1	287.5	399.25	644.5	174.5	197.75	336
AHNAK	22823	17354.5	44197.5	17480	16763	43480
AHNAK2	4860	3980	7597	6225	15123	22890
AHR	1341	1402	3082	1160	3433	6573
AHRR	170	92	55	47	76	38
AHSA1	285	189	690	358	589	726
AHSA2	406	555	1289	424	584	779
AIF1L	719	1193	1173	23	229	89
AIFM1	146.4	148.6	369.4	223.4	296.6	281.4
AIFM2	134	126	489	173	412	354
AIG1	94	176	247	87	251	293
AIM1	3732	6131	4419	360	2841	5440
AIM1L	622	672	539	241	604	420
AIP	142	188	364	225	168	196
AK1	261	287	1007	92	175	247
AK2	314	323	704	418.5	420	733
AK3	389	543	988	240	637	270
AKAP1	923	738	1891	616	1112	1036
AKAP10	245	345	628	139	407	597
AKAP11	1178	1309	2794	961	1385	2409
AKAP12	458.5	382.5	2116	36.5	381.5	612.5
AKAP13	2820.67	2761.67	9816.33	1582.33	2807	5764.67
AKAP2	571.5	427.5	2690.5	144.5	299.5	584
AKAP6	879	502	7795	33	142	821
AKAP7	54	91	101	0	44	77
AKAP8	337	404	689	227	417	467
AKAP8L	214	305	573	177	284	388
AKAP9	1751	3356	3600.5	1090	2276.5	4697.5
AKIRIN1	340	373	740	358.5	388	911.5
AKIRIN2	254	286	484	258	518	447
AKNA	626	661	3091	281	1198	787
AKR1A1	427	497	1045	291	561	930
AKR1B1	158	121	634	338	434	401
AKR1B10	676	537	655	2820	2478	794
AKR1C1	31	37	66	238	248	117
AKR1C3	114	116	299	3122	1790	922
AKR7A2	87	110	228	199	169	196
AKT1	677	565.667	2425.33	1026	1566.67	1558.33
AKT1S1	219.667	153.667	777.667	235	257.667	479.667
AKT2	984	1011	2571	896	912	1099
AKT3	149.5	101.5	564	35.5	110.5	160
ALAD	395	575	823	150	497	492
ALAS1	366.5	252.5	508	183.5	365	488
ALCAM	269	403	526	487	1086	781
ALDH16A1	246	282	971	409	532	600
ALDH18A1	547	446	1246	420	647	1389.5
ALDH1A1	499	580	343	110	550	45
ALDH1A3	268	894	1296	283	180	1195
ALDH1B1	116	174	770	115	250	367
ALDH2	685	533	883	113	560	583
ALDH3A1	2908.33	1867.67	445.667	1345	4880	58.3333
ALDH3A2	1206	1836	1411	703	1788	1377.5
ALDH3B1	75	24	131	31	57	36
ALDH3B2	421.5	312	395.5	1430	375.5	621
ALDH4A1	489.5	383	579	179.5	520.5	439
ALDH5A1	117	149	197	138	150	143
ALDH6A1	117	199	260	68	120	111
ALDH7A1	231	226	280	155	177	102
ALDH9A1	757	725	1144	149	456	415
ALDOA	2270	2753	4433	3079	3506	2260
ALDOC	127	101	95	23	163	29
ALG1	92	69	267	122	207	215
ALG10	51	82	69	26	82	110
ALG10B	130	131	194	60	150	196
ALG11	137	132	311	123	144	231
ALG12	159	68	262	67	225	211
ALG13	274	337	874	68	437	323
ALG2	158	192	529	140	438	534
ALG3	146	123	303	252	347	436
ALG5	80	109	231	108	99	173
ALG6	81	186	181	109	171	214
ALG8	100	123	213	36	141	234
ALG9	191.5	212	488.5	82.5	133	348.5
ALKBH4	14	35	77	99	106	134
ALKBH5	653	513	2383	308	1513	2165
ALKBH7	88	105	255	172	68	74
ALKBH8	74	157	251	114	103	256
ALMS1	486	666	1820	692	1292	1856
ALOX12	380	2860	643	318	243	5
ALOX12B	251	61	378	161	295	40
ALOX12P2	26	71	54	368	598	391
ALOX15B	114.333	138.333	147	10	171.333	67.6667
ALOX5	31	161	647	57	161	134
ALOXE3	70	32	143	124	369	51
ALPK1	257.5	264.5	561.5	16	374	195.5
ALPK2	201	115	330	71	44	197
ALPK3	962	678	7739	32	142	1000
ALPL	55.5	53	531.5	31.5	34	64.5
ALS2	201	275	613	152.5	311.5	603
ALS2CL	1320	1839	1719.5	392.5	1408.5	837.5
ALS2CR4	304	505	496	182.5	415.5	790
ALS2CR8	131	331	346	51	184.5	234
AMACR	62	149	234	37	134.5	293
AMBRA1	360	362	797	128	368	605
AMD1	683.5	808	1103.5	636	949.5	1188
AMDHD2	141	155	383	221	288	267
AMFR	894	853	2173	1099	836	1625
AMICA1	78.5	110	556	10	79	169
AMIGO2	54	179	124	52	242	414
AMMECR1	524	418	709.5	441	987	1601
AMMECR1L	396	401	1147	473	801	1036
AMOT	814	552.5	2330.5	1.5	65	305
AMOTL1	3431	2283	7078	1262	2661	5150
AMOTL2	1564	1009	1577	425	787	954
AMPD2	178	222	991.667	388.667	399.333	583.667
AMPD3	349.333	611.667	2004.67	157	491	842.667
AMT	58	115	198	27	100	99
AMY2B	51	73	146	15	23	40
AMZ2	92.5	129.333	294.667	125.667	189.833	303.833
ANAPC11	48.7143	62	168.286	101.571	49.7143	138
ANAPC13	168.333	240.333	269.333	82	344	347.333
ANAPC2	331	389	1114	345	752	531
ANAPC4	238	399	513	113	317	681
ANAPC5	904	1254	2932	928	1718	2290
ANAPC7	431.5	684	976	316	829.5	740
ANGEL1	276	225	1149	266	555	657
ANGEL2	128	380	463	45	250	446
ANGPTL2	484	427	5063	106	414	769
ANK1	169.833	233.333	515	108.167	108.333	113.333
ANK2	507	484.667	2207.67	10.6667	109	125.333
ANK3	767.5	1063	1676	439	1082	1412.5
ANKFY1	653.5	788.5	1585	438.5	1313	1542
ANKH	582	478	1125	348	1262	824
ANKHD1	1412.5	1877.5	2591.25	1002.25	1289.25	1350.5
ANKIB1	671	807	1586	542	1295	2861
ANKLE2	703	694	1678	1061	2048	2209
ANKMY1	93	169	280	69.5	326	374
ANKMY2	103	136	155	91	87	241
ANKRA2	99	192	207	129	120	119
ANKRD1	1207	790	4508	4	11	743
ANKRD10	870	929	3832	878	535	997
ANKRD11	984	985	2022	1993	1597	1362
ANKRD12	1198	2072.5	3025.5	825	6342	1302.5
ANKRD13A	375	680	917	277	240	623
ANKRD13B	89	69	224	156	148	135
ANKRD13C	348	364	667	350	372	568
ANKRD13D	281	368	849	748	449	652
ANKRD16	51.6667	75.3333	109.667	54.6667	74.3333	102.333
ANKRD17	2590	2004	5065.5	1546.5	3085	4818.5
